Company,Date,Amount,TFTD*,Series,Lead Investor,Coverage
Pairtree,6/23/2021,"$2,250,000",,Seed,Urban Innovation Fund,https://www.geekwire.com/2021/pairtree-platform-facilitating-adoptions-raises-2-25m-help-launch-matching-app/
Moderne,6/23/2021,"$4,700,000",,,True Ventures,https://www.geekwire.com/2021/former-pivotal-software-colleagues-raise-4-7m-seattle-code-remediation-startup-moderne/
Videon,6/22/2021,"$7,300,000",,A,Voyager Capital,https://www.geekwire.com/2021/live-video-platform-videon-lands-7-3m-hires-new-ceo-plans-open-co-hq-seattle/
SoleSavy,6/21/2021,"$12,500,000","$14,500,000",A,Bedrock Capital,https://solesavy.com/solesavy-series-a-funding/
Umoja Biopharma ,6/18/2021,"$210,000,000","$263,000,000",B,"SoftBank Vision Fund 2, Cormorant Asset Management",https://www.geekwire.com/2021/immunotherapy-startup-umoja-lands-210m-less-year-raising-53m/
Lightspeed Microscopy,6/17/2021,"$4,000,000",,A,Dynamk Capital,https://www.geekwire.com/2021/mouse-brains-3d-microscopy-startup-lightspeed-raises-4m-visualize-medical-specimens/
Recompose,6/17/2021,"$15,000,000","$22,500,000",,,https://www.geekwire.com/2021/seattles-recompose-raising-cash-human-composting-startup-plans-locations-states/
Leafly,6/17/2021,"$23,000,000","$38,000,000",,,https://www.geekwire.com/2021/seattle-marijuana-startup-leafly-raises-23m-recent-legalization-boosts-cannabis-market/
Candidate,6/16/2021,"$4,000,000","$5,000,000",Seed,Voyager Capital,https://www.geekwire.com/2021/rethinking-referrals-seattle-startup-candidate-raises-cash-help-companies-hiring/
Arrived,6/16/2021,"$10,000,000",,,Core Innovation Capital,https://www.geekwire.com/2021/arrived-gets-37m-funding-let-anyone-invest-home-rental-homes-starting-100-share/
Coinme,6/16/2021,"$10,000,000","$30,000,000",,,https://www.geekwire.com/2021/coinme-seattle-startup-crypto-enabling-legacy-financial-services-raises-10m/
Candid,6/14/2021,"$2,000,000",,,,https://www.geekwire.com/2021/portland-startup-candid-lands-2m-help-brands-retailers-run-wholesale-business-online/
Flyhomes,6/10/2021,"$150,000,000","$200,000,000",C,"Norwest Venture Partners, Battery Ventures",https://www.geekwire.com/2021/flyhomes-raises-150m-expands-across-u-s-aims-change-way-people-buy-homes/
Aserto,6/9/2021,"$5,100,000",,Seed,,https://www.geekwire.com/2021/ex-microsoft-leaders-land-5-1m-github-co-founder-ex-snowflake-ceo-new-startup-aserto/
Luxor Technology,6/9/2021,"$5,000,000",,A,NYDIG,https://www.businesswire.com/news/home/20210609005779/en/Luxor-Technology-Closes-5.0M-Round-Led-by-NYDIG-With-Participation-From-US-Mining-Firms
YourBase,6/8/2021,"$5,000,000",,Seed,Lightspeed Venture Partners,https://www.geekwire.com/2021/ex-google-amazon-engineers-raise-5m-help-developers-test-fix-software-bugs/
Stackline,6/8/2021,"$130,000,000","$180,000,000",B,TA Associates,https://www.geekwire.com/2021/e-commerce-firm-stackline-raises-130m-latest-giant-funding-round-seattle-area-startups/
